estado,lat,lon
AC,-9.410210972727272,-69.69705038683588
AL,-9.523362754506996,-36.465391035336125
AM,-3.930158380645159,-63.237899196543765
AP,0.9570205187500002,-51.378204888068176
BA,-12.9152116412891,-40.402654264929474
CE,-4.943937048268859,-39.492389870499636
DF,-15.7934036,-47.8823172
ES,-19.897060993024265,-40.789229101679936
GO,-16.201944315050564,-49.444969364185674
MA,-4.2376123732718876,-44.91328837327191
MG,-19.59695876249127,-44.1038733948346
MS,-21.239415630379753,-54.47828630296712
MT,-13.639849062092566,-55.559335951604545
PA,-2.9524869487279957,-49.76862287924044
PB,-7.063474135650224,-36.64353385490355
PE,-8.218967743243242,-36.657608821873694
PI,-6.636330963437096,-42.38871327132171
PR,-24.39315908548058,-51.85198436776272
RJ,-22.28758770869565,-42.82163298478261
RN,-5.978713243357032,-36.58829915824724
RO,-11.172696669230772,-62.32211453653846
RR,2.6026403304077563,-60.54553769127788
RS,-28.96792561740442,-52.605964134985975
SC,-27.26502191016948,-50.70604464542371
SE,-10.621089715333333,-37.273256877364865
SP,-22.147880208661824,-48.6366504586128
TO,-9.273216808633094,-48.18873297841727
